8393,Dark Java,98,65,69,#624145,LThanda
7001,Red Gold Metallic,128,105,69,#806945,LThanda
7002,Prism Metallic,32,45,57,#202D39,LThanda
7003,Rich Gold Metallic,110,96,72,#6E6048,LThanda
7004,Pewter Metallic,42,43,48,#2A2B30,LThanda
7005,Silver Metallic,104,103,99,#686763,LThanda
7006,Dark Gold Metallic,142,118,89,#8E7659,LThanda
7007,Classic Gold Metallic,108,96,70,#6C6046,LThanda
7008,Light Gold Metallic,110,103,76,#6E674C,LThanda
7009,Platinum Metallic,102,99,84,#666354,LThanda
3001,Neon Green,116,189,75,#74BD4B,LThanda
3002,Neon Yellow,232,207,24,#E8CF18,LThanda
3003,Neon Pink,245,57,97,#F53961,LThanda
3004,Neon Orange,245,105,62,#F5693E,LThanda
4001,Glow In The Dark,196,197,197,#C4C5C5,LThanda
8330,Light Orange,240,125,25,#F07D19,LThanda
8331,Mid Orange,242,111,38,#F26F26,LThanda
8332,Bright Orange,239,91,39,#EF5B27,LThanda
8333,Dark Orange,241,80,40,#F15028,LThanda
8334,Flame,215,58,42,#D73A2A,LThanda
8339,Deep Coral,237,92,61,#ED5C3D,LThanda
8340,Tangerine,228,53,37,#E43525,LThanda
8343,Pink Pearl,233,150,118,#E99676,LThanda
8344,Light Terra Cotta,239,120,76,#EF784C,LThanda
8345,Terra Cotta,204,79,49,#CC4F31,LThanda
8346,Dark Terra Cotta,205,75,43,#CD4B2B,LThanda
8347,Pink Marble,220,130,97,#DC8261,LThanda
8354,Mid Nacre,225,175,152,#E1AF98,LThanda
8362,Skin Tone,220,137,87,#DC8957,LThanda
8363,Dark Skin Tone,212,106,63,#D46A3F,LThanda
8004,Pale Rose,211,139,138,#D38B8A,LThanda
8005,Mid Rose,222,127,130,#DE7F82,LThanda
8006,Rose,208,82,87,#D05257,LThanda
8011,Blush,224,102,89,#E06659,LThanda
8016,Musk,234,115,125,#EA737D,LThanda
8017,Dark Musk,223,70,82,#DF4652,LThanda
8027,Pink,242,136,144,#F28890,LThanda
8028,Light Hot Pink,235,91,103,#EB5B67,LThanda
8029,Hot Pink,219,48,62,#DB303E,LThanda
8031,Pale Pink,238,183,160,#EEB7A0,LThanda
8032,Light Carnation,242,138,139,#F28A8B,LThanda
8033,Carnation,233,73,109,#E9496D,LThanda
8035,Pastel Pink,240,175,159,#F0AF9F,LThanda
8036,Mid Pink,234,134,145,#EA8691,LThanda
8037,Floral,216,98,113,#D86271,LThanda
8038,Dark Floral,184,49,81,#B83151,LThanda
8041,Cerise,156,32,49,#9C2031,LThanda
8043,Ice Pink,240,195,161,#F0C3A1,LThanda
8044,Frilly Pink,230,112,120,#E67078,LThanda
8048,Light Frilly Pink,234,148,152,#EA9498,LThanda
8049,Lilac Pink,217,122,132,#D97A84,LThanda
8050,Light Fuschia,198,91,103,#C65B67,LThanda
8051,Fuschia,176,52,74,#B0344A,LThanda
8052,Dark Fuschia,150,31,60,#961F3C,LThanda
8053,Deep Blush,154,11,43,#9A0B2B,LThanda
8054,Baby Pink,235,158,169,#EB9EA9,LThanda
8055,Light Magenta,169,74,98,#A94A62,LThanda
8056,Mid Magenta,164,52,86,#A43456,LThanda
8057,Magenta,116,22,47,#74162F,LThanda
8058,Dark Magenta,94,17,36,#5E1124,LThanda
8059,Lolly Pink,221,119,135,#DD7787,LThanda
8060,Light Jazz Pink,233,105,131,#E96983,LThanda
8061,Jazz Pink,219,73,107,#DB496B,LThanda
8062,Mid Jazz Pink,212,50,94,#D4325E,LThanda
8063,Dark Jazz Pink,195,34,68,#C32244,LThanda
8064,Cyclamen,170,16,55,#AA1037,LThanda
8065,Light Cyclamen,215,77,115,#D74D73,LThanda
8066,Mid Cyclamen,212,39,88,#D42758,LThanda
8067,Dark Cyclamen,192,14,62,#C00E3E,LThanda
8068,Pink Mist,224,168,173,#E0A8AD,LThanda
8069,Crepe Myrtle,214,133,169,#D685A9,LThanda
8070,Light Puce,218,132,164,#DA84A4,LThanda
8071,Puce,203,66,126,#CB427E,LThanda
8072,Dark Puce,170,17,80,#AA1150,LThanda
8073,Bright Cerise,169,20,84,#A91454,LThanda
8074,Port Wine,122,8,41,#7A0829,LThanda
8075,Pale Soft Pink,224,153,145,#E09991,LThanda
8076,Soft Pink,216,126,125,#D87E7D,LThanda
8077,Rose Bud,195,96,99,#C36063,LThanda
8082,Pink Haze,176,121,124,#B0797C,LThanda
8083,Blossom,233,162,153,#E9A299,LThanda
8084,Sweet Pea,161,96,124,#A1607C,LThanda
8085,Rose Quartz,127,56,68,#7F3844,LThanda
8086,Mid Garnet,100,36,48,#642430,LThanda
8087,Garnet,89,27,41,#591B29,LThanda
8336,Feather Pink,236,151,129,#EC9781,LThanda
8337,Light Coral,238,132,106,#EE846A,LThanda
8338,Coral,237,115,89,#ED7359,LThanda
8342,Pearl,212,168,147,#D4A893,LThanda
8353,Light Nacre,223,177,162,#DFB1A2,LThanda
8369,Light Ballet Pink,227,169,147,#E3A993,LThanda
8370,Ballet Slipper Pink,233,152,128,#E99880,LThanda
8371,Pale Salmon,216,144,122,#D8907A,LThanda
8372,Salmon,207,120,94,#CF785E,LThanda
8378,Ice Burgundy,203,150,143,#CB968F,LThanda
8007,Dark Rose,186,62,68,#BA3E44,LThanda
8008,Geranium,166,43,50,#A62B32,LThanda
8010,Light Blush,229,143,123,#E58F7B,LThanda
8012,Pale Scarlet,228,69,66,#E44542,LThanda
8013,Scarlet,201,43,47,#C92B2F,LThanda
8014,Bright Red,172,15,30,#AC0F1E,LThanda
8015,Red,148,9,21,#940915,LThanda
8018,Lipstick,211,44,60,#D32C3C,LThanda
8019,Flamingo,216,37,48,#D82530,LThanda
8020,Flag Red,186,10,25,#BA0A19,LThanda
8021,Crimson,143,16,30,#8F101E,LThanda
8022,Dark Crimson,113,11,29,#710B1D,LThanda
8023,Burgundy,92,9,23,#5C0917,LThanda
8024,Claret,115,17,34,#731122,LThanda
8025,Ruby,105,8,27,#69081B,LThanda
8026,Shiraz,70,10,21,#460A15,LThanda
8030,Bright Pink,211,38,56,#D32638,LThanda
8042,Wine,91,13,29,#5B0D1D,LThanda
8078,Light Dusky Pink,153,66,73,#994249,LThanda
8079,Dusky Pink,135,52,56,#873438,LThanda
8080,Dark Dusky Pink,110,39,45,#6E272D,LThanda
8081,Sangria,84,24,28,#54181C,LThanda
8088,Dark Garnet,85,22,35,#551623,LThanda
8335,Poppy,196,44,38,#C42C26,LThanda
8341,Sunset,215,34,39,#D72227,LThanda
8348,Light Brick Red,209,100,64,#D16440,LThanda
8349,Brick Red,174,68,44,#AE442C,LThanda
8350,Dark Brick Red,167,59,44,#A73B2C,LThanda
8351,Rust,144,42,34,#902A22,LThanda
8352,Dark Rust,119,35,30,#77231E,LThanda
8373,Mid Salmon,218,117,96,#DA7560,LThanda
8374,Dark Salmon,184,80,68,#B85044,LThanda
8375,Siena,177,67,56,#B14338,LThanda
8376,Dark Siena,162,53,52,#A23534,LThanda
8377,Light Burgundy,133,39,46,#85272E,LThanda
8002,White,222,218,208,#DEDAD0,LThanda
8003,Ecru,235,200,174,#EBC8AE,LThanda
8291,Ivory,174,167,156,#AEA79C,LThanda
8295,Steam Cloud,180,170,145,#B4AA91,LThanda
8299,Bone,196,171,143,#C4AB8F,LThanda
8301,Sand,168,127,103,#A87F67,LThanda
8382,Porcelain Pink,211,157,144,#D39D90,LThanda
8383,Light Mole Pink,214,156,142,#D69C8E,LThanda
8394,Magnolia,223,191,171,#DFBFAB,LThanda
8395,Pampas,211,179,160,#D3B3A0,LThanda
8396,Light Latte,191,157,144,#BF9D90,LThanda
8406,Baby Blossom,211,173,156,#D3AD9C,LThanda
8411,Frost,200,198,198,#C8C6C6,LThanda
8412,Alabaster,207,192,151,#CFC097,LThanda
8413,Light Stone,184,167,148,#B8A794,LThanda
8414,Mid Stone,153,141,128,#998D80,LThanda
8419,Ash,150,145,134,#969186,LThanda
8423,Frosty Pink,204,175,158,#CCAF9E,LThanda
8424,Light Clay,174,141,121,#AE8D79,LThanda
8428,Snow Drift,200,175,161,#C8AFA1,LThanda
8429,Twig,163,128,116,#A38074,LThanda
8434,Arctic Grey,160,160,150,#A0A096,LThanda
8435,Cement,131,121,118,#837976,LThanda
8440,Pale Dove,164,163,159,#A4A39F,LThanda
8441,Dove,133,133,139,#85858B,LThanda
8300,Cream,205,170,115,#CDAA73,LThanda
8305,Straw,225,140,55,#E18C37,LThanda
8306,Cadmium,191,116,46,#BF742E,LThanda
8313,Sahara,213,158,87,#D59E57,LThanda
8314,Canary,201,146,64,#C99240,LThanda
8315,Harvest Gold,202,143,58,#CA8F3A,LThanda
8316,Sunflower,176,108,34,#B06C22,LThanda
8317,Citrus,204,183,66,#CCB742,LThanda
8318,Dark Citrus,226,188,12,#E2BC0C,LThanda
8319,Wattle,235,191,14,#EBBF0E,LThanda
8320,Dark Wattle,227,173,7,#E3AD07,LThanda
8321,Primrose Yellow,224,187,113,#E0BB71,LThanda
8322,Dark Primrose,234,192,90,#EAC05A,LThanda
8323,Lemon Cadmium,227,180,21,#E3B415,LThanda
8324,Sunshine,235,165,20,#EBA514,LThanda
8325,Marigold,247,162,36,#F7A224,LThanda
8326,Baby Yellow,236,186,111,#ECBA6F,LThanda
8327,Lemon Yellow,237,184,97,#EDB861,LThanda
8328,Daffodil,231,167,35,#E7A723,LThanda
8329,Chrome,239,144,40,#EF9028,LThanda
8360,Parchment,228,194,139,#E4C28B,LThanda
8361,Light Skin Tone,238,176,119,#EEB077,LThanda
