F7,F7,151,25,55,345.71,0.72,0.35,33.03,51.46,16.19,Asher
F8,F8,188,0,40,347.23,1.00,0.37,39.32,64.42,35.05,Asher
F9,F9,226,103,122,350.73,0.68,0.65,59.23,49.58,13.09,Asher
G1,G1,255,226,206,24.49,1.00,0.90,91.73,6.88,13.41,Asher
G10,G10,217,140,57,31.13,0.68,0.54,64.81,22.39,54.34,Asher
G11,G11,224,197,147,38.96,0.55,0.73,80.68,2.39,28.61,Asher
G12,G12,255,200,144,30.27,1.00,0.78,84.27,12.64,35.45,Asher
G13,G13,183,113,74,21.47,0.43,0.50,54.42,23.81,33.05,Asher
G14,G14,141,97,76,19.38,0.30,0.43,45.27,15.20,19.14,Asher
G15,G15,252,249,224,53.57,0.82,0.93,97.56,-3.14,12.35,Asher
G16,G16,242,217,186,33.21,0.68,0.84,87.99,3.92,18.43,Asher
G17,G17,120,82,75,9.33,0.23,0.38,38.79,14.91,10.50,Asher
G18,G18,255,228,204,28.24,1.00,0.90,92.18,5.57,15.08,Asher
G19,G19,224,121,53,23.86,0.73,0.54,61.46,35.16,53.05,Asher
G2,G2,255,196,170,18.35,1.00,0.83,83.78,17.63,21.19,Asher
G20,G20,169,64,35,12.99,0.66,0.40,41.57,41.62,39.02,Asher
G21,G21,184,133,88,28.13,0.40,0.53,59.59,14.30,31.85,Asher
G3,G3,244,195,165,22.78,0.78,0.80,82.37,13.36,21.72,Asher
G4,G4,225,179,131,30.64,0.61,0.70,76.00,10.46,30.83,Asher
G5,G5,237,176,69,38.21,0.82,0.60,75.75,12.21,61.08,Asher
G6,G6,233,156,23,38.00,0.83,0.50,70.29,19.62,71.22,Asher
G7,G7,157,91,62,18.32,0.43,0.43,45.63,24.19,28.19,Asher
G8,G8,117,56,50,5.37,0.40,0.33,31.44,26.13,16.17,Asher
G9,G9,230,180,131,29.70,0.66,0.71,76.74,11.93,31.90,Asher
H1,H1,253,251,255,270.00,1.00,0.99,98.87,1.37,-1.69,Asher
H10,H10,238,233,234,348.00,0.13,0.92,92.75,1.86,0.10,Asher
H11,H11,206,205,213,247.50,0.09,0.82,82.69,1.83,-3.85,Asher
H12,H12,255,245,237,26.67,1.00,0.96,97.10,2.00,5.03,Asher
H13,H13,245,236,210,44.57,0.64,0.89,93.48,-1.20,13.69,Asher
H14,H14,207,215,211,150.00,0.09,0.83,85.29,-3.44,1.02,Asher
H15,H15,152,166,168,187.50,0.08,0.63,67.11,-4.50,-2.73,Asher
H16,H16,29,20,20,0.00,0.18,0.10,-8.67,73.50,1.60,Asher
H17,H17,241,237,237,0.00,0.12,0.94,94.05,1.34,0.46,Asher
H18,H18,255,253,240,52.00,1.00,0.97,99.14,-1.54,6.44,Asher
H19,H19,246,239,226,39.00,0.53,0.93,94.66,0.16,7.11,Asher
H2,H2,254,255,255,180.00,1.00,1.00,99.93,-0.32,-0.13,Asher
H20,H20,148,159,163,196.00,0.08,0.61,64.75,-3.08,-3.43,Asher
H21,H21,255,251,225,52.00,1.00,0.94,98.31,-2.95,12.93,Asher
H22,H22,202,202,212,240.00,0.10,0.81,81.59,1.87,-4.97,Asher
H23,H23,154,157,148,80.00,0.04,0.60,64.26,-2.78,4.32,Asher
H3,H3,182,177,186,273.33,0.06,0.71,72.85,3.46,-3.96,Asher
H4,H4,137,133,140,274.29,0.03,0.54,56.07,2.88,-3.23,Asher
H5,H5,72,70,78,255.00,0.05,0.29,30.18,2.64,-4.49,Asher
H6,H6,47,43,47,300.00,0.04,0.18,18.09,2.74,-1.94,Asher
H7,H7,0,0,0,0.00,0.00,0.00,-16.00,0.00,0.00,Asher
H8,H8,231,214,219,342.35,0.26,0.87,87.09,6.71,-0.35,Asher
H9,H9,237,237,237,0.00,0.00,0.93,93.75,0.00,-0.01,Asher
M1,M1,188,198,184,102.86,0.11,0.75,78.78,-6.01,5.82,Asher
M10,M10,197,178,188,328.42,0.14,0.74,74.41,8.55,-2.61,Asher
M11,M11,159,117,148,315.71,0.18,0.54,54.27,21.70,-10.33,Asher
M12,M12,100,71,73,355.86,0.17,0.34,33.34,12.75,3.72,Asher
M13,M13,209,144,102,23.55,0.54,0.61,65.33,19.93,32.14,Asher
M14,M14,199,115,98,10.10,0.47,0.58,57.35,31.26,23.74,Asher
M15,M15,117,125,120,142.50,0.03,0.47,51.62,-4.00,1.69,Asher
M2,M2,138,163,134,111.72,0.14,0.58,64.42,-14.41,12.21,Asher
M3,M3,105,125,128,187.83,0.10,0.46,50.95,-6.58,-4.08,Asher
M4,M4,227,210,188,33.85,0.41,0.81,85.02,2.34,13.03,Asher
M5,M5,208,204,170,53.68,0.29,0.74,81.56,-4.23,17.47,Asher
M6,M6,176,167,130,48.26,0.23,0.60,68.37,-2.74,20.35,Asher
M7,M7,180,164,151,26.90,0.16,0.65,68.38,3.61,8.84,Asher
M8,M8,179,130,129,1.20,0.25,0.60,59.10,18.75,8.00,Asher
M9,M9,165,135,103,30.97,0.26,0.53,58.33,6.80,21.51,Asher
P1,P1,252,247,248,348.00,0.45,0.98,97.63,1.84,0.10,Asher
P10,P10,217,199,234,270.86,0.45,0.85,82.67,12.70,-15.01,Asher
P11,P11,243,236,201,50.00,0.64,0.87,93.13,-3.27,17.83,Asher
P12,P12,230,238,242,200.00,0.32,0.93,93.62,-1.91,-2.86,Asher
P13,P13,170,203,239,211.30,0.68,0.80,80.45,-2.88,-21.35,Asher
P14,P14,51,118,128,187.79,0.43,0.35,45.93,-17.94,-11.88,Asher
P15,P15,102,133,117,149.03,0.13,0.46,52.82,-14.51,5.04,Asher
P16,P16,254,191,69,39.57,0.99,0.63,81.16,11.50,67.11,Asher
P17,P17,254,163,36,34.95,0.99,0.57,74.44,25.02,72.32,Asher
P18,P18,254,184,159,15.79,0.98,0.81,80.66,22.23,22.72,Asher
P19,P19,255,254,236,56.84,1.00,0.96,99.30,-2.70,8.71,Asher
P2,P2,176,169,172,334.29,0.04,0.68,69.88,3.06,-0.66,Asher
P20,P20,254,190,207,344.06,0.97,0.87,83.13,25.44,0.49,Asher
P21,P21,236,190,191,358.70,0.55,0.84,80.97,16.60,5.74,Asher
P22,P22,228,168,159,7.83,0.56,0.76,74.19,20.85,13.32,Asher
P23,P23,165,98,104,354.63,0.27,0.52,49.17,27.85,8.30,Asher
P3,P3,175,220,171,115.10,0.41,0.77,83.57,-23.88,19.39,Asher
P4,P4,254,164,159,3.16,0.98,0.81,76.15,32.70,16.48,Asher
P5,P5,238,140,62,26.59,0.84,0.59,67.49,31.30,55.69,Asher
P6,P6,95,208,167,158.23,0.55,0.59,76.27,-41.93,10.71,Asher
P7,P7,235,146,112,16.59,0.75,0.68,69.03,30.17,32.11,Asher
P8,P8,240,217,88,50.92,0.84,0.64,86.43,-6.70,64.40,Asher
P9,P9,217,217,217,0.00,0.00,0.85,86.70,0.00,-0.01,Asher
Q1,Q1,242,165,232,307.79,0.75,0.80,77.05,38.62,-22.20,Asher
Q2,Q2,233,236,145,61.98,0.71,0.75,91.40,-14.17,43.76,Asher
Q3,Q3,255,255,0,60.00,1.00,0.50,97.14,-21.56,94.48,Asher
Q4,Q4,255,235,250,315.00,1.00,0.96,94.98,9.32,-4.79,Asher
Q5,Q5,118,206,222,189.23,0.61,0.67,78.03,-22.29,-16.17,Asher
R1,R1,213,13,33,354.00,0.88,0.44,45.00,69.19,46.30,Asher
R10,R10,255,219,76,47.93,1.00,0.65,88.18,-2.14,71.42,Asher
R11,R11,255,235,250,315.00,1.00,0.96,94.98,9.32,-4.79,Asher
R12,R12,216,213,206,42.00,0.11,0.83,85.32,-0.20,3.81,Asher
R13,R13,85,81,76,33.33,0.06,0.32,34.68,0.63,3.52,Asher
R14,R14,159,228,223,175.65,0.56,0.76,86.10,-22.52,-4.48,Asher
R15,R15,119,206,233,194.21,0.72,0.69,78.43,-19.11,-21.46,Asher
R16,R16,62,207,202,177.93,0.60,0.53,76.02,-38.38,-8.60,Asher
R17,R17,74,134,122,168.00,0.29,0.41,51.74,-22.60,0.37,Asher
R18,R18,127,205,157,143.08,0.44,0.65,76.44,-34.46,16.46,Asher
R19,R19,205,229,93,70.59,0.72,0.63,86.90,-26.46,62.01,Asher
R2,R2,249,47,131,335.05,0.94,0.58,55.90,77.41,3.59,Asher
R20,R20,232,199,180,21.92,0.53,0.81,82.54,8.76,13.82,Asher
R21,R21,173,111,60,27.08,0.48,0.46,52.49,19.66,37.97,Asher
R22,R22,108,55,47,7.87,0.39,0.30,29.73,22.60,15.57,Asher
R23,R23,254,184,114,30.00,0.99,0.72,79.94,17.89,45.23,Asher
R24,R24,243,193,192,1.18,0.68,0.85,82.38,17.70,7.32,Asher
R25,R25,201,103,94,5.05,0.50,0.58,55.00,38.00,22.97,Asher
R26,R26,210,147,190,319.05,0.41,0.70,68.23,30.37,-12.75,Asher
R27,R27,234,140,177,336.38,0.69,0.73,69.06,40.33,-3.97,Asher
R28,R28,156,135,214,255.95,0.49,0.68,61.00,24.80,-37.73,Asher
R3,R3,253,131,36,26.27,0.98,0.57,67.46,41.03,66.63,Asher
R4,R4,248,236,49,56.38,0.93,0.58,91.76,-14.55,83.13,Asher
R5,R5,53,199,91,135.62,0.58,0.49,71.12,-60.45,42.89,Asher
R6,R6,35,136,145,184.91,0.61,0.35,51.85,-24.62,-12.99,Asher
R7,R7,25,119,157,197.27,0.73,0.36,46.76,-12.34,-27.84,Asher
R8,R8,26,96,195,215.15,0.76,0.43,42.04,16.74,-57.54,Asher
R9,R9,154,86,180,283.40,0.39,0.52,48.03,43.89,-38.70,Asher
T1,T1,255,255,255,0.00,0.00,1.00,100.00,0.01,-0.01,Asher
Y1,Y1,253,111,180,330.85,0.97,0.71,66.17,61.02,-9.66,Asher
Y2,Y2,254,180,129,24.48,0.98,0.75,79.21,21.26,36.65,Asher
Y3,Y3,215,250,160,83.33,0.90,0.80,94.04,-25.89,39.52,Asher
Y4,Y4,139,219,250,196.76,0.92,0.76,83.47,-16.60,-22.78,Asher
Y5,Y5,233,135,234,299.39,0.70,0.72,69.89,51.73,-34.37,Asher
ZG1,ZG1,218,171,179,349.79,0.39,0.76,74.37,18.39,2.49,Asher
ZG2,ZG2,214,170,135,26.58,0.49,0.68,72.76,11.35,24.17,Asher
ZG3,ZG3,193,189,141,55.38,0.30,0.65,75.86,-6.25,24.83,Asher
ZG4,ZG4,150,134,159,278.40,0.12,0.57,58.07,10.86,-11.08,Asher
ZG5,ZG5,132,144,166,218.82,0.16,0.58,59.53,0.55,-13.03,Asher
ZG6,ZG6,148,191,226,206.92,0.57,0.73,75.48,-5.86,-22.04,Asher
ZG7,ZG7,226,169,210,316.84,0.50,0.77,75.57,27.39,-12.61,Asher
ZG8,ZG8,171,145,192,273.19,0.27,0.66,63.93,18.69,-20.76,Asher
